cay = c - 0.297479 a - 0.735506 y - 0.722305,,,,
date,c (pce),a,y,cay
195201,9.093953021,10.89469016,8.918754821,0.017232113
195202,9.10943273,10.91173117,8.921286305,0.025854689
195203,9.109901195,10.90860741,8.935078719,0.01702452
195204,9.140159044,10.90285561,8.964518341,0.027166851
195301,9.148149814,10.90320914,8.975534149,0.026898049
195302,9.150413612,10.90343154,8.985438689,0.02176341
195303,9.143584933,10.90187705,8.977927702,0.020950464
195304,9.132176794,10.90578363,8.966056406,0.017189647
195401,9.131663893,10.91325899,8.95577312,0.022104779
195402,9.140600239,10.92932463,8.955159639,0.02679775
195403,9.149438397,10.95098365,8.958211946,0.027042843
195404,9.165441564,10.95670801,8.977129319,0.027365619
195501,9.183400526,10.96436361,8.984992396,0.037264186
195502,9.198381014,10.98616323,9.006761929,0.029752105
195503,9.206088792,11.00034547,9.021702463,0.022250887
195504,9.213806895,11.00369639,9.032571168,0.020941897
195601,9.211103155,11.02185312,9.03870889,0.008384694
195602,9.210343545,11.02060408,9.046713272,0.002063792
195603,9.207932943,11.01494733,9.045750622,0.002019982
195604,9.216721792,11.02553049,9.057275548,-0.000818847
195701,9.219328596,11.01972539,9.056607337,0.003980121
195702,9.217011015,11.03401704,9.057420462,-0.003118391
195703,9.220400752,11.01814964,9.056132282,0.005864763
195704,9.216230907,11.0170356,9.047609013,0.008331366
195801,9.198676477,11.0192346,9.025930234,0.006185101
195802,9.203001956,11.03197876,9.028086887,0.005187374
195803,9.215007324,11.0536961,9.05076362,-0.00594747
195804,9.223766817,11.0643325,9.061398095,-0.008171921
195901,9.237759478,11.06336556,9.068636667,0.000743971
195902,9.249191542,11.0728491,9.081478204,-0.000104943
195903,9.255395976,11.06709606,9.07261381,0.014344958
195904,9.252082171,11.07308084,9.074771784,0.007683416
196001,9.25362702,11.06765193,9.082200168,0.005315644
196002,9.262628461,11.07049115,9.084720405,0.011620888
196003,9.254341972,11.05785958,9.081246875,0.009599712
196004,9.251168101,11.07408463,9.075070556,0.006254625
196101,9.246974062,11.09214441,9.078782952,-0.005968794
196102,9.257893982,11.10157051,9.091153332,-0.006964208
196103,9.258570123,11.1085259,9.09939537,-0.014424305
196104,9.274151018,11.12696955,9.112749861,-0.014124123
196201,9.281151707,11.12436253,9.119893778,-0.011650557
196202,9.289834181,11.07651982,9.127893367,0.00509819
196203,9.294076937,11.08605245,9.128476425,0.006121899
196204,9.304054595,11.12473042,9.132201713,0.00203186
196301,9.307522779,11.13787941,9.138757145,-0.003198428
196302,9.313888625,11.14982973,9.145438433,-0.005273745
196303,9.323580522,11.15720481,9.151994409,-0.002592428
196304,9.328005587,11.14679554,9.162940201,-0.003228045
196401,9.344411997,11.15695112,9.18021126,-0.002578773
196402,9.358698538,11.17240612,9.203157868,-0.009801151
196403,9.373337869,11.18235721,9.213282051,-0.005567554
196404,9.37255751,11.19195826,9.220568851,-0.014550476
196501,9.39181596,11.20176921,9.229094624,-0.004473311
196502,9.40018277,11.19549763,9.236278432,0.00040836
196503,9.413859403,11.21652852,9.262210337,-0.011264656
196504,9.438402459,11.23866704,9.280363045,-0.00663534
196601,9.450536736,11.22982938,9.283254768,0.00594202
196602,9.450416201,11.23263986,9.291255954,-0.000924451
196603,9.458690204,11.21094518,9.304918005,0.003577592
196604,9.459720264,11.23112176,9.316621554,-0.009957403
196701,9.463093702,11.26181477,9.328434188,-0.024304795
196702,9.474185997,11.26977272,9.3349519,-0.020365178
196703,9.47645254,11.28524315,9.34222011,-0.028003643
196704,9.479700092,11.29394065,9.352257158,-0.034730764
196801,9.501111638,11.28758941,9.368573761,-0.023543065
196802,9.513925049,11.31931903,9.384733044,-0.031971886
196803,9.529847413,11.32473242,9.386171649,-0.018697554
196804,9.531678644,11.35807283,9.393405462,-0.031971059
196901,9.540714574,11.35105595,9.393670814,-0.021079859
196902,9.544836076,11.3394793,9.401932073,-0.019690042
196903,9.546844034,11.33079719,9.421605587,-0.029709871
196904,9.551846407,11.32000258,9.427553782,-0.025955239
197001,9.555575391,11.31288351,9.435109755,-0.025739142
197002,9.557076509,11.28337911,9.446677793,-0.024175995
197003,9.562407475,11.3045187,9.453276397,-0.029911921
197004,9.556256876,11.31759907,9.446634484,-0.034969498
197101,9.57213772,11.34503604,9.464185377,-0.040106074
197102,9.57839907,11.35127796,9.477961147,-0.045869565
197103,9.583244475,11.35301858,9.479370612,-0.042576698
197104,9.596602408,11.36903995,9.487078881,-0.039610692
197201,9.607345188,11.3912042,9.493406283,-0.040033616
197202,9.623869359,11.3998427,9.502177319,-0.032529496
197203,9.636655867,11.41362831,9.511323068,-0.030545502
197204,9.657173854,11.45326324,9.544876749,-0.046460228
197301,9.673150808,11.44246218,9.552759905,-0.033161793
197302,9.670484018,11.43246146,9.554782031,-0.034401564
197303,9.671563422,11.44784998,9.553248497,-0.036686331
197304,9.666150028,11.41711794,9.555636704,-0.034881908
